X,Y,OBJECTID,LocationID,LocationDesc,LocationNote,CountNote,CityName,CountyName,CountYear,CountTime,CountDate,WeatherCode,WeatherNote,HeritageSite,Bike_M_N_NH,Bike_M_N_H,Bike_F_N_NH,Bike_F_N_H,Bike_M_S_NH,Bike_M_S_H,Bike_F_S_NH,Bike_F_S_H,Bike_M_E_NH,Bike_M_E_H,Bike_F_E_NH,Bike_F_E_H,Bike_M_W_NH,Bike_M_W_H,Bike_F_W_NH,Bike_F_W_H,Bike_U_N,Bike_U_S,Bike_U_E,Bike_U_W,Bike_M_N,Bike_F_N,Bike_North,Bike_M_S,Bike_F_S,Bike_South,Bike_M_E,Bike_F_E,Bike_East,Bike_M_W,Bike_F_W,Bike_West,Bike_Total,Ped_M_N,Ped_F_N,Ped_U_N,Ped_North,Ped_M_S,Ped_F_S,Ped_U_S,Ped_South,Ped_M_E,Ped_F_E,Ped_U_E,Ped_East,Ped_M_W,Ped_F_W,Ped_U_W,Ped_West,Ped_Total,Other_N,Other_S,Other_E,Other_W,Other_Total,Latitude,Longitude,Deprecated,StartYear,CityFIPSLongPlaceCode,CountyFIPSLongPlaceCode,TimeSlot
-122.349650000000523,47.649709998727531,9616,Seattle1,Fremont Bridge & N 34th St,,,Seattle,King County,2009,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,,,,,,,,,,,,,,,,,167,,,,,1,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9617,Seattle1,Fremont Bridge/34th,,,Seattle,King County,2010,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,,,,,,,,,,,,,,,,,208,,,,,0,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9618,Seattle1,34th/Fremont Ave N,,,Seattle,King County,2010,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,,,,,,,,,,,,,,,,,709,,,,,7,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9619,Seattle1,Fremont Bridge & N 34th St,,,Seattle,King County,2011,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,500,,,,,0,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9620,Seattle1,Fremont  (N-S) and 34th St (E-W),,,Seattle,King County,2011,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,,,,,,,,,,,,,,614,,,,,3,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9621,Seattle1,Fremont Bridge & N 34th St,,,Seattle,King County,2012,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,0,,,,,0,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9622,Seattle1,Fremont Bridge & N 34th St,,It was really difficult to keep up at this location. Accuracy suffered.,Seattle,King County,2013,AM,2013-10-02T00:00:00.000Z,,Light rain,Yes,0,9,0,2,6,322,3,104,1,60,1,30,0,18,0,11,,,,,0,0,11,6,3,435,1,1,92,0,0,29,567,63,75,,138,36,23,,59,77,48,,125,75,61,,136,458,0,0,0,0,0,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9623,Seattle1,Fremont Bridge & N 34th St,,"due to volume of traffic, unable to get gender and helmet information. inputted data for all counts under under ""male with helmet"" for bicyclists and ""male"" for pedestrians.",Seattle,King County,2013,PM,2013-10-03T00:00:00.000Z,,Mostly sunny. 56 degrees. Dry roads.,Yes,0,160,0,0,0,182,0,0,0,299,0,0,0,187,0,0,,,,,0,0,160,0,0,182,0,0,299,0,0,187,828,358,0,,358,111,0,,111,194,0,,194,186,0,,186,849,0,0,1,2,3,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9624,Seattle1,Fremont Bridge & N 34th St,,"I was next to two bus stops and a busy Starbucks; counting became difficult at times. Also, as traffic backed up some large vehicles blocked the other side of the street",Seattle,King County,2014,AM,2014-09-30T00:00:00.000Z,,Partly cloudy with sun breaks,Yes,0,6,1,2,9,477,1,173,4,89,0,39,0,33,0,23,,,,,0,1,9,9,1,660,4,0,132,0,0,56,857,,,,71,,,,98,,,,116,,,,98,383,0,1,0,0,1,47.64971,-122.34965,No,2009,5363000,53033,
-122.349650000000523,47.649709998727531,9625,Seattle1,Fremont Bridge & N 34th St,,"I couldn't count peds and bikes, there were way too many, so I just focused on trying to get an accurate count of bikes. ",Seattle,King County,2014,PM,2014-09-30T00:00:00.000Z,,Sunny 65 degrees,Yes,5,118,1,43,7,144,4,52,13,237,1,68,6,175,1,51,,,,,5,1,167,7,4,207,13,1,319,6,1,233,926,,,,,,,,,,,,,,,,,0,,,,,0,47.64971,-122.34965,No,2009,5363000,53033,
